Student_ID,Age,Gender,Parental_Education,Study_Hours_Per_Week,Attendance_Rate,Past_Exam_Score,Internal_Assessment_Score,Assignment_Completion_Rate,Tutoring_Classes,Internet_Access,Extracurricular_Activities,Sleep_Hours_Per_Day,Final_Score,Performance_Category,Passed,Attendance_Group,Study_Hours_Group,Risk_Level,Grade_Point
STU1152,18,Female,Diploma,23.5,75.5,65.6,32.5,67.9,Yes,Yes,No,5.3,71.2,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.12
STU1153,18,Male,High School,16.9,90.0,41.3,14.6,91.4,Yes,Yes,Yes,5.7,55.0,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,5.5
STU1154,19,Female,High School,16.5,63.2,66.1,30.3,67.6,No,No,No,8.4,55.9,Pass,Yes,Critical (<65%),High (>16 hrs),Moderate Risk,5.59
STU1155,23,Male,Bachelor,22.1,65.1,71.6,33.9,55.8,Yes,Yes,No,6.8,71.2,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.12
STU1156,18,Female,Bachelor,8.1,88.3,69.3,31.6,75.9,No,Yes,No,7.3,68.0,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.8
STU1157,20,Female,Diploma,6.1,93.8,76.0,34.7,89.3,Yes,Yes,No,9.0,73.2,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,7.32
STU1158,20,Male,Diploma,20.7,82.7,81.3,40.8,83.2,Yes,Yes,No,6.9,82.1,Distinction,Yes,Good (75-85%),High (>16 hrs),Low Risk,8.21
STU1159,18,Male,Bachelor,12.3,82.0,63.9,22.9,84.2,No,Yes,Yes,6.8,63.8,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.38
STU1160,20,Female,Master,8.0,40.0,80.3,36.6,45.0,No,Yes,No,8.3,55.9,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,5.59
STU1161,19,Female,Bachelor,32.5,75.7,63.8,24.5,81.6,No,Yes,Yes,7.0,68.9,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,6.89
STU1162,20,Male,Bachelor,4.8,78.2,55.2,27.5,75.8,No,Yes,Yes,7.4,57.0,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.7
STU1163,20,Female,High School,14.1,89.3,59.5,23.8,86.4,No,Yes,No,8.1,57.1,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.71
STU1164,19,Female,Bachelor,11.6,90.4,68.7,22.3,85.2,Yes,Yes,No,7.0,70.0,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.0
STU1165,18,Female,High School,10.6,93.2,80.2,38.8,77.7,No,No,No,7.9,71.1,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.11
STU1166,21,Male,Bachelor,3.0,85.2,65.0,28.3,88.9,No,Yes,No,6.9,63.6,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,6.36
STU1167,19,Female,Diploma,26.1,89.8,55.6,26.3,75.3,Yes,Yes,No,8.1,71.7,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.17
STU1168,18,Female,Bachelor,5.5,59.3,85.2,43.3,56.6,No,Yes,Yes,7.5,70.6,Merit,Yes,Critical (<65%),Low (<8 hrs),High Risk,7.06
STU1169,18,Male,Diploma,11.1,69.4,44.9,21.5,74.9,Yes,Yes,Yes,6.8,52.8,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.28
STU1170,19,Male,Bachelor,10.2,69.8,55.7,25.7,71.2,Yes,Yes,No,7.1,62.9,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.29
STU1171,20,Female,Diploma,17.2,57.9,77.5,34.7,67.3,No,Yes,Yes,4.3,64.9,Pass,Yes,Critical (<65%),High (>16 hrs),High Risk,6.49
STU1172,18,Male,Diploma,4.8,89.8,89.7,36.3,83.2,No,Yes,No,8.3,71.0,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,7.1
STU1173,19,Female,Bachelor,16.2,82.5,71.7,31.5,75.3,No,Yes,No,5.6,72.3,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.23
STU1174,18,Male,High School,14.1,51.3,68.5,37.7,64.3,Yes,Yes,No,5.8,65.3,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.53
STU1175,20,Male,Master,8.9,78.2,60.9,26.1,65.5,No,Yes,No,6.5,62.5,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.25
STU1176,18,Female,Bachelor,15.9,61.1,72.7,32.2,69.9,No,Yes,Yes,5.0,61.4,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,6.14
STU1177,20,Male,Diploma,13.0,87.8,66.8,34.5,76.1,Yes,Yes,No,7.5,71.8,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.18
STU1178,19,Male,Bachelor,29.1,54.7,54.4,19.1,65.3,No,Yes,Yes,7.4,58.1,Pass,Yes,Critical (<65%),High (>16 hrs),High Risk,5.81
STU1179,21,Male,Bachelor,11.6,85.7,60.7,29.5,72.8,No,No,Yes,6.5,58.9,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.89
STU1180,18,Female,Bachelor,7.4,74.2,52.9,18.2,73.5,No,Yes,Yes,6.3,55.8,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,5.58
STU1181,19,Male,Master,16.3,69.4,65.2,30.7,76.3,Yes,Yes,No,6.2,73.1,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.31
STU1182,18,Male,High School,10.8,77.1,67.3,30.2,73.4,Yes,Yes,No,7.7,65.0,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.5
STU1183,21,Female,High School,12.8,93.9,87.9,41.7,90.7,No,Yes,No,5.2,75.3,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.53
STU1184,21,Male,Bachelor,6.1,58.7,56.6,21.9,67.2,No,Yes,No,6.6,50.4,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,5.04
STU1185,19,Female,Diploma,17.3,66.3,62.5,26.3,71.1,No,Yes,No,5.3,56.8,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.68
STU1186,20,Male,Diploma,9.9,86.8,82.6,39.5,89.3,Yes,Yes,No,7.8,83.1,Distinction,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,8.31
STU1187,20,Female,Diploma,14.7,82.4,90.3,38.9,76.6,No,Yes,No,6.6,72.3,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.23
STU1188,19,Male,Diploma,32.7,48.3,71.6,34.9,47.3,No,No,No,7.6,58.3,Pass,Yes,Critical (<65%),High (>16 hrs),High Risk,5.83
STU1189,19,Female,Bachelor,11.2,78.6,61.5,28.4,66.0,Yes,No,No,8.4,60.7,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.07
STU1190,18,Male,Bachelor,18.5,80.4,58.4,24.7,71.2,No,No,Yes,8.4,58.5,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,5.85
STU1191,18,Male,Master,11.7,75.2,39.2,16.5,65.5,No,Yes,No,5.9,47.1,At-Risk,No,Good (75-85%),Medium (8-16 hrs),High Risk,4.71
STU1192,21,Male,Bachelor,9.0,90.8,52.0,23.4,84.7,Yes,No,Yes,7.3,59.4,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.94
STU1193,21,Male,High School,23.9,75.9,66.4,29.1,66.8,Yes,Yes,No,8.2,67.4,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,6.74
STU1194,20,Male,High School,3.9,91.8,62.5,30.7,75.0,No,Yes,No,7.8,61.3,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,6.13
STU1195,19,Male,Diploma,20.8,73.5,73.7,31.9,62.2,No,Yes,No,7.9,72.0,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.2
STU1196,19,Female,Bachelor,3.6,63.0,62.3,26.0,70.7,No,Yes,No,5.0,50.0,Pass,Yes,Critical (<65%),Low (<8 hrs),Moderate Risk,5.0
STU1197,20,Male,High School,19.8,88.4,54.8,27.8,83.7,Yes,No,No,7.7,62.5,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,6.25
STU1198,21,Male,High School,12.9,83.4,69.8,29.9,75.5,Yes,Yes,No,6.1,69.7,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.97
STU1199,21,Female,Master,7.4,84.2,98.0,42.2,86.8,No,Yes,Yes,7.7,85.0,Distinction,Yes,Good (75-85%),Low (<8 hrs),Low Risk,8.5
STU1200,20,Female,Bachelor,10.3,88.7,60.6,18.6,73.5,No,Yes,No,7.7,58.7,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.87
STU1201,20,Male,High School,18.0,76.4,66.9,26.5,83.1,Yes,No,No,7.6,61.6,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.16
STU1202,18,Male,High School,31.2,91.8,76.9,31.7,86.6,No,Yes,No,6.9,79.5,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.95
STU1203,18,Male,Bachelor,4.9,68.4,57.0,23.8,61.5,Yes,No,No,8.4,55.1,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,5.51
STU1204,21,Female,Master,7.7,77.2,82.8,34.7,77.6,Yes,Yes,Yes,7.6,78.5,Merit,Yes,Good (75-85%),Low (<8 hrs),Low Risk,7.85
STU1205,20,Female,High School,5.8,80.4,42.9,22.7,81.5,Yes,Yes,No,7.4,55.3,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.53
STU1206,18,Male,Diploma,11.6,83.3,59.3,24.0,76.9,Yes,Yes,No,6.0,64.9,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.49
STU1207,18,Female,Bachelor,20.1,47.1,60.6,24.8,60.2,No,Yes,Yes,7.4,58.5,Pass,Yes,Critical (<65%),High (>16 hrs),High Risk,5.85
STU1208,20,Female,Bachelor,5.4,97.3,67.1,30.7,81.1,No,Yes,No,9.2,63.6,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,6.36
STU1209,18,Female,Bachelor,12.8,80.4,37.4,13.0,71.9,No,Yes,No,5.5,52.5,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.25
STU1210,18,Female,Diploma,19.7,75.6,83.9,43.2,64.8,No,Yes,No,7.8,79.1,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.91
STU1211,19,Male,Master,10.2,53.7,70.8,34.7,51.8,No,Yes,No,7.9,68.0,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.8
STU1212,20,Male,Diploma,2.1,82.8,80.7,32.2,72.7,No,Yes,No,8.9,69.2,Merit,Yes,Good (75-85%),Low (<8 hrs),Low Risk,6.92
STU1213,20,Male,High School,14.2,43.9,87.6,43.0,59.1,No,Yes,No,7.8,63.1,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.31
STU1214,18,Male,Bachelor,23.0,67.9,54.6,28.8,59.1,No,Yes,No,7.0,60.4,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,6.04
STU1215,20,Female,Bachelor,6.9,69.6,30.1,12.0,67.3,No,Yes,No,7.5,36.5,At-Risk,No,Moderate (65-75%),Low (<8 hrs),High Risk,3.65
STU1216,18,Female,Bachelor,4.2,69.8,81.0,32.4,69.5,No,Yes,No,6.7,63.6,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,6.36
STU1217,19,Male,High School,15.1,88.2,61.0,25.3,89.7,Yes,Yes,No,8.3,66.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.62
STU1218,20,Male,Bachelor,15.3,80.7,49.1,17.1,86.4,No,Yes,Yes,5.3,54.2,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.42
STU1219,20,Male,Diploma,9.8,69.8,73.1,30.2,73.9,No,Yes,Yes,6.5,62.2,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.22
STU1220,21,Female,Bachelor,8.8,58.5,98.0,42.7,70.4,No,Yes,Yes,7.5,79.2,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,7.92
STU1221,20,Male,High School,13.1,61.4,63.5,30.3,68.7,Yes,No,No,8.3,56.4,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,5.64
STU1222,19,Male,Bachelor,6.8,88.1,78.3,35.5,90.9,No,Yes,No,7.0,71.8,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,7.18
STU1223,18,Male,Bachelor,6.8,85.5,51.2,22.5,84.0,No,No,Yes,6.1,49.0,At-Risk,No,Excellent (>85%),Low (<8 hrs),High Risk,4.9
STU1224,19,Male,Diploma,17.9,71.6,41.4,16.9,61.7,Yes,Yes,Yes,6.8,57.7,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.77
STU1225,19,Female,High School,6.6,97.8,77.8,30.4,86.5,No,Yes,Yes,6.6,74.6,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,7.46
STU1226,18,Female,Bachelor,4.4,83.8,72.6,34.7,81.6,Yes,Yes,No,6.6,71.3,Merit,Yes,Good (75-85%),Low (<8 hrs),Low Risk,7.13
STU1227,22,Male,Bachelor,8.8,76.5,58.5,28.3,70.6,Yes,Yes,No,6.5,59.2,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.92
STU1228,19,Female,Diploma,10.0,69.7,88.9,37.8,64.3,No,Yes,No,6.5,70.5,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.05
STU1229,21,Female,High School,16.2,89.3,40.3,14.3,84.1,No,Yes,No,5.1,48.7,At-Risk,No,Excellent (>85%),High (>16 hrs),High Risk,4.87
STU1230,20,Female,High School,9.2,75.2,47.8,27.0,81.3,No,Yes,No,7.3,53.8,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.38
STU1231,20,Male,Master,24.9,86.7,57.4,26.7,71.4,No,Yes,Yes,7.7,74.8,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.48
STU1232,19,Male,Diploma,13.4,81.6,60.0,28.4,82.5,Yes,Yes,No,8.6,72.2,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.22
STU1233,19,Male,High School,8.1,88.6,85.5,40.0,86.5,Yes,Yes,No,7.9,74.0,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.4
STU1234,19,Female,Bachelor,15.8,60.8,65.7,25.4,71.8,Yes,Yes,No,7.9,60.1,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,6.01
STU1235,18,Male,Bachelor,24.7,69.8,62.3,33.3,77.5,Yes,Yes,No,7.3,73.4,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.34
STU1236,20,Male,High School,17.7,66.6,47.2,19.8,71.9,No,Yes,No,5.1,44.6,At-Risk,No,Moderate (65-75%),High (>16 hrs),High Risk,4.46
STU1237,19,Male,Master,5.2,50.7,80.2,39.0,55.9,No,Yes,No,7.3,65.7,Merit,Yes,Critical (<65%),Low (<8 hrs),High Risk,6.57
STU1238,18,Female,Bachelor,10.4,89.9,49.1,27.2,77.0,Yes,Yes,No,7.1,64.2,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,6.42
STU1239,20,Male,Diploma,14.6,72.1,47.2,21.5,71.4,Yes,Yes,No,8.1,57.0,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.7
STU1240,18,Female,Diploma,17.3,76.9,59.4,22.6,79.1,No,Yes,No,7.6,63.2,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.32
STU1241,22,Female,Master,11.6,78.0,67.3,21.6,82.5,Yes,Yes,Yes,6.9,71.3,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.13
STU1242,22,Male,High School,10.8,90.5,54.9,24.6,89.1,No,Yes,No,9.2,57.4,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.74
STU1243,21,Female,Diploma,29.0,57.3,74.9,34.6,54.0,No,Yes,No,7.9,65.3,Merit,Yes,Critical (<65%),High (>16 hrs),High Risk,6.53
STU1244,19,Male,High School,17.8,66.6,61.0,25.4,68.6,Yes,Yes,Yes,7.4,62.8,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,6.28
STU1245,18,Female,Bachelor,15.9,73.2,79.7,36.3,67.9,Yes,Yes,Yes,7.5,73.6,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.36
STU1246,21,Male,Bachelor,9.4,85.1,72.1,34.0,69.8,No,Yes,Yes,7.1,74.7,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.47
STU1247,19,Female,Bachelor,6.8,87.8,90.1,44.0,75.5,Yes,No,No,7.0,80.2,Distinction,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,8.02
STU1248,22,Female,High School,16.0,72.2,58.8,25.7,62.8,Yes,Yes,No,4.6,58.6,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.86
STU1249,22,Female,Bachelor,18.8,98.6,76.8,34.4,95.9,Yes,Yes,Yes,6.0,83.8,Distinction,Yes,Excellent (>85%),High (>16 hrs),Low Risk,8.38
STU1250,21,Female,Bachelor,12.8,69.2,40.0,17.4,63.6,No,Yes,Yes,6.4,48.5,At-Risk,No,Moderate (65-75%),Medium (8-16 hrs),High Risk,4.85
STU1251,19,Male,Diploma,17.9,63.6,98.0,44.2,60.2,No,Yes,No,7.5,82.0,Distinction,Yes,Critical (<65%),High (>16 hrs),Low Risk,8.2
STU1252,19,Female,Bachelor,18.1,95.6,76.1,32.4,96.1,Yes,Yes,Yes,5.2,73.6,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.36
STU1253,21,Female,Diploma,19.4,88.5,60.9,25.6,79.5,No,Yes,Yes,6.4,68.1,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.81
STU1254,19,Female,Bachelor,5.1,91.3,61.4,26.0,74.1,No,Yes,No,6.3,66.5,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.65
STU1255,18,Male,High School,10.6,65.4,61.5,28.2,61.5,No,Yes,No,7.1,54.7,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.47
STU1256,19,Female,Bachelor,16.5,94.5,90.8,37.9,78.5,Yes,Yes,Yes,7.5,85.6,Distinction,Yes,Excellent (>85%),High (>16 hrs),Low Risk,8.56
STU1257,21,Female,Master,13.2,73.1,77.6,33.3,63.2,No,Yes,No,6.3,70.6,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.06
STU1258,20,Female,Master,18.1,75.2,58.8,32.8,64.2,No,Yes,Yes,6.4,62.8,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.28
STU1259,19,Male,Diploma,15.9,78.7,47.7,24.6,77.0,Yes,Yes,No,6.3,57.0,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.7
STU1260,18,Female,Diploma,3.1,57.8,81.7,33.4,54.2,Yes,Yes,Yes,6.6,62.0,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,6.2
STU1261,20,Male,High School,21.7,96.4,76.7,37.5,84.7,Yes,Yes,Yes,6.9,81.5,Distinction,Yes,Excellent (>85%),High (>16 hrs),Low Risk,8.15
STU1262,23,Female,Bachelor,9.9,85.7,74.9,35.9,87.2,Yes,Yes,No,8.4,77.0,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.7
STU1263,18,Male,Bachelor,7.9,56.6,63.8,28.3,58.1,Yes,Yes,No,5.9,58.7,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,5.87
STU1264,19,Female,Diploma,21.3,63.2,60.8,24.9,72.6,No,Yes,Yes,8.9,65.7,Merit,Yes,Critical (<65%),High (>16 hrs),Low Risk,6.57
STU1265,21,Female,High School,17.4,50.4,88.6,37.0,55.2,No,No,Yes,5.6,66.7,Merit,Yes,Critical (<65%),High (>16 hrs),High Risk,6.67
STU1266,20,Male,Master,22.8,71.7,89.9,41.2,68.2,Yes,Yes,No,8.1,85.2,Distinction,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,8.52
STU1267,20,Female,Bachelor,14.7,88.1,74.0,30.3,86.7,No,No,No,6.5,65.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.54
STU1268,20,Male,Diploma,10.5,66.5,78.6,39.2,58.0,No,Yes,Yes,6.0,68.2,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,6.82
STU1269,19,Female,Diploma,13.8,81.4,68.3,35.6,68.8,No,Yes,No,8.4,71.6,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.16
STU1270,19,Female,High School,7.1,57.3,45.8,20.5,63.1,No,Yes,Yes,7.1,48.7,At-Risk,No,Critical (<65%),Low (<8 hrs),High Risk,4.87
STU1271,20,Female,Bachelor,5.7,83.2,51.3,27.1,78.0,Yes,Yes,No,7.0,64.6,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,6.46
STU1272,20,Female,Master,9.1,47.8,81.0,35.0,59.3,No,Yes,Yes,6.7,63.5,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.35
STU1273,21,Female,Bachelor,26.1,88.0,82.8,34.8,89.9,No,No,Yes,6.4,74.1,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.41
STU1274,21,Male,Diploma,9.6,96.5,79.8,39.8,85.3,No,Yes,Yes,6.8,72.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.22
STU1275,19,Male,Bachelor,4.5,86.3,69.8,36.9,82.3,No,Yes,No,4.0,66.2,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.62
STU1276,19,Female,Diploma,11.8,78.0,80.3,43.0,74.6,Yes,Yes,Yes,5.0,69.0,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.9
STU1277,20,Female,High School,9.5,55.2,64.2,30.1,68.3,Yes,No,Yes,7.4,55.9,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,5.59
STU1278,20,Female,Master,21.9,93.8,73.7,36.2,92.3,No,Yes,Yes,8.3,78.0,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.8
STU1279,20,Female,Diploma,25.2,96.4,62.1,29.0,95.7,No,Yes,Yes,8.5,72.9,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.29
STU1280,20,Male,Diploma,10.3,72.3,50.2,27.5,65.7,No,Yes,No,5.9,59.2,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,5.92
STU1281,21,Female,Master,14.7,61.5,77.1,36.2,68.5,Yes,Yes,Yes,7.2,76.9,Merit,Yes,Critical (<65%),Medium (8-16 hrs),Low Risk,7.69
STU1282,19,Male,High School,15.3,80.2,82.9,40.1,71.4,No,Yes,No,4.6,72.3,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.23
STU1283,19,Female,Bachelor,12.5,87.0,98.0,40.1,75.1,No,Yes,Yes,6.6,78.8,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.88
STU1284,18,Male,Master,11.4,84.3,68.7,30.1,87.9,No,No,Yes,7.9,64.2,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.42
STU1285,19,Male,Diploma,7.6,92.6,50.3,25.5,75.2,Yes,Yes,No,7.0,59.4,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,5.94
STU1286,18,Male,High School,4.0,58.8,60.4,29.7,70.5,Yes,Yes,No,6.6,56.2,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,5.62
STU1287,19,Male,Diploma,7.6,74.4,63.1,31.5,65.1,No,Yes,Yes,7.0,62.2,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,6.22
STU1288,19,Female,High School,12.3,95.9,67.1,30.6,93.5,No,Yes,Yes,8.4,66.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.62
STU1289,19,Male,Diploma,5.4,66.6,71.6,29.9,62.1,No,Yes,No,6.7,58.4,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,5.84
STU1290,19,Male,Bachelor,14.3,70.5,70.1,31.3,66.4,No,Yes,No,7.1,62.1,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.21
STU1291,18,Male,Diploma,13.3,58.1,75.9,34.3,55.0,No,Yes,No,8.7,65.7,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.57
STU1292,18,Male,Diploma,9.5,88.4,67.8,31.4,83.6,Yes,Yes,No,6.7,69.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.94
STU1293,21,Male,Bachelor,11.1,76.6,33.8,12.0,70.6,Yes,Yes,No,5.2,37.9,At-Risk,No,Good (75-85%),Medium (8-16 hrs),High Risk,3.79
STU1294,19,Male,Bachelor,5.9,42.5,68.2,29.8,52.9,Yes,Yes,No,8.5,62.8,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,6.28
STU1295,18,Female,Bachelor,19.2,93.9,66.2,29.5,76.0,Yes,Yes,No,8.1,77.0,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.7
STU1296,19,Female,Diploma,19.1,73.5,72.7,24.9,62.7,No,Yes,No,4.6,53.2,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.32
STU1297,20,Female,Bachelor,6.6,80.1,59.9,29.9,68.1,No,Yes,No,6.9,63.3,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,6.33
STU1298,18,Male,Bachelor,6.7,80.0,68.1,31.2,74.4,Yes,Yes,No,7.0,72.7,Merit,Yes,Good (75-85%),Low (<8 hrs),Low Risk,7.27
STU1299,20,Male,Diploma,7.6,70.6,72.8,33.7,75.7,No,Yes,No,8.5,64.2,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,6.42
STU1300,18,Female,Diploma,16.9,93.8,62.8,26.5,93.4,No,Yes,No,7.0,68.0,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.8
STU1301,18,Male,Diploma,15.3,92.2,74.5,35.6,79.4,No,Yes,No,7.2,72.6,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.26
STU1302,19,Male,Bachelor,21.2,76.1,66.0,26.8,74.8,Yes,Yes,No,7.2,71.1,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.11
STU1303,19,Male,High School,22.4,79.2,67.2,27.9,80.8,No,Yes,No,6.5,70.1,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.01
STU1304,20,Male,Master,5.1,78.4,30.0,15.7,70.7,Yes,Yes,Yes,8.4,45.6,At-Risk,No,Good (75-85%),Low (<8 hrs),High Risk,4.56
STU1305,20,Male,Bachelor,16.6,79.7,49.0,23.3,74.0,No,Yes,Yes,6.1,56.4,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,5.64
